edge_id,roi_i_107space,roi_j_107space,n_subjects,mean_delta_str,median_delta_str,sd_delta_str,t_obs,parametric_t_p_two_sided_reference,n_positive_subjects,n_negative_subjects,n_zero_subjects,cohen_dz,p_perm_t_two_sided,p_perm_t_greater_reference,p_perm_t_FWER_maxT_reference,p_perm_mean_two_sided_reference,q_BH_FDR_t_two_sided,q_BH_FDR_mean_two_sided_reference,FDR05_significant_t,FDR10_significant_t,positive_mean_delta,negative_mean_delta,FDR05_significant_positive_t,FDR05_significant_negative_t,roi_i_roi_label,roi_i_region_label,roi_j_roi_label,roi_j_region_label,network_pair,network17_pair,bootstrap_CI_low_top_edges_only,bootstrap_CI_high_top_edges_only
042__101,42,101,13,0.07849497,0.075603671,0.102005017,2.774546271,0.016819575,10,3,0,0.76952068,0.014648438,0.007324219,1,0.014648438,0.164823986,0.164823986,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_042,ROI_042,ROI_101,ROI_101,Unknown - Unknown,Unknown - Unknown,,
007__009,7,9,13,0.078439052,0.08736885,0.086505741,3.269332432,0.006711517,11,2,0,0.906749671,0.008789063,0.004394531,0.99609375,0.008789063,0.159627183,0.159627183,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_007,ROI_007,ROI_009,ROI_009,Unknown - Unknown,Unknown - Unknown,0.032033147,0.122184238
008__087,8,87,13,0.07842679,0.076508165,0.1099242,2.572425482,0.024436218,10,3,0,0.71346246,0.026611328,0.013305664,1,0.026611328,0.176920096,0.176920096,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_008,ROI_008,ROI_087,ROI_087,Unknown - Unknown,Unknown - Unknown,,
033__052,33,52,13,0.078423432,0.065908477,0.120602219,2.344564717,0.037076985,10,3,0,0.650265254,0.033691406,0.016845703,1,0.033691406,0.185567994,0.185567994,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_033,ROI_033,ROI_052,ROI_052,Unknown - Unknown,Unknown - Unknown,,
047__063,47,63,13,0.078415502,0.108362597,0.08823829,3.204177121,0.007573602,10,3,0,0.888678839,0.008544922,0.004272461,0.998046875,0.008544922,0.159627183,0.159627183,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_047,ROI_047,ROI_063,ROI_063,Unknown - Unknown,Unknown - Unknown,0.031870016,0.124078761
009__080,9,80,13,0.078404517,0.075575798,0.106214773,2.661508338,0.020733557,8,5,0,0.738169599,0.019775391,0.009887695,1,0.019775391,0.171858315,0.171858315,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_009,ROI_009,ROI_080,ROI_080,Unknown - Unknown,Unknown - Unknown,,
056__071,56,71,13,0.078401096,0.115754003,0.090876313,3.110592411,0.009010921,9,4,0,0.86272311,0.012207031,0.006103516,0.999511719,0.012207031,0.160245542,0.160245542,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_056,ROI_056,ROI_071,ROI_071,Unknown - Unknown,Unknown - Unknown,,
025__080,25,80,13,0.0783928,0.085404459,0.084533747,3.343626313,0.005848717,10,3,0,0.927355086,0.004394531,0.002197266,0.993408203,0.004394531,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_025,ROI_025,ROI_080,ROI_080,Unknown - Unknown,Unknown - Unknown,0.036247713,0.124006946
046__075,46,75,13,0.078360923,0.045382944,0.109442945,2.581567292,0.024028292,11,2,0,0.715997942,0.014404297,0.007202148,1,0.014404297,0.16304744,0.16304744,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_046,ROI_046,ROI_075,ROI_075,Unknown - Unknown,Unknown - Unknown,,
008__094,8,94,13,0.078348154,0.117023089,0.114429396,2.468668861,0.029565476,10,3,0,0.684685551,0.033935547,0.016967773,1,0.033935547,0.185567994,0.185567994,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_008,ROI_008,ROI_094,ROI_094,Unknown - Unknown,Unknown - Unknown,,
014__080,14,80,13,0.078309418,0.066627701,0.080367547,3.51321687,0.004276501,11,2,0,0.974391044,0.005371094,0.002685547,0.984130859,0.005371094,0.153155031,0.153155031,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_014,ROI_014,ROI_080,ROI_080,Unknown - Unknown,Unknown - Unknown,0.036362968,0.120324773
022__042,22,42,13,0.078210206,0.051257922,0.093244352,3.024214348,0.010579733,11,2,0,0.838766146,0.00390625,0.001953125,0.999511719,0.00390625,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_022,ROI_022,ROI_042,ROI_042,Unknown - Unknown,Unknown - Unknown,0.033252895,0.129869542
052__094,52,94,13,0.078201581,0.070417377,0.102984057,2.737897648,0.018001305,10,3,0,0.759356181,0.019042969,0.009521484,1,0.019042969,0.171145286,0.171145286,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_052,ROI_052,ROI_094,ROI_094,Unknown - Unknown,Unknown - Unknown,,
056__101,56,101,13,0.078183001,0.06963822,0.11947903,2.359349734,0.036093978,10,3,0,0.65436588,0.03515625,0.017578125,1,0.03515625,0.185790567,0.185790567,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_056,ROI_056,ROI_101,ROI_101,Unknown - Unknown,Unknown - Unknown,,
045__064,45,64,13,0.078172631,0.088119447,0.09888591,2.850309308,0.014614382,9,4,0,0.790533566,0.014160156,0.007080078,1,0.014160156,0.16304744,0.16304744,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_045,ROI_045,ROI_064,ROI_064,Unknown - Unknown,Unknown - Unknown,,
038__101,38,101,13,0.078101808,0.080398333,0.082472312,3.414480153,0.005130611,11,2,0,0.947006405,0.006591797,0.003295898,0.990234375,0.006591797,0.155758667,0.155758667,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_038,ROI_038,ROI_101,ROI_101,Unknown - Unknown,Unknown - Unknown,0.035082226,0.120479413
038__060,38,60,13,0.078047264,0.082155505,0.081084043,3.470515333,0.004626561,11,2,0,0.962547768,0.003173828,0.001586914,0.986816406,0.003173828,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_038,ROI_038,ROI_060,ROI_060,Unknown - Unknown,Unknown - Unknown,0.037685397,0.123080086
